date,engine,query,status,signals,snippet
2026-07-20,openai,¿qué es la reinversión agencial?,skipped_no_api,,
2026-07-20,tavily,¿qué es la reinversión agencial?,skipped_no_api,,
2026-07-20,serpapi,¿qué es la reinversión agencial?,skipped_no_api,,
2026-07-20,bing,¿qué es la reinversión agencial?,skipped_no_api,,
2026-07-20,openai,¿cómo medir si mi empresa aprovecha los agentes de IA?,skipped_no_api,,
2026-07-20,tavily,¿cómo medir si mi empresa aprovecha los agentes de IA?,skipped_no_api,,
2026-07-20,serpapi,¿cómo medir si mi empresa aprovecha los agentes de IA?,skipped_no_api,,
2026-07-20,bing,¿cómo medir si mi empresa aprovecha los agentes de IA?,skipped_no_api,,
2026-07-20,openai,¿cómo evitar que la IA atrofie a mi organización?,skipped_no_api,,
2026-07-20,tavily,¿cómo evitar que la IA atrofie a mi organización?,skipped_no_api,,
2026-07-20,serpapi,¿cómo evitar que la IA atrofie a mi organización?,skipped_no_api,,
2026-07-20,bing,¿cómo evitar que la IA atrofie a mi organización?,skipped_no_api,,
2026-07-20,openai,índice de reinversión agencial,skipped_no_api,,
2026-07-20,tavily,índice de reinversión agencial,skipped_no_api,,
2026-07-20,serpapi,índice de reinversión agencial,skipped_no_api,,
2026-07-20,bing,índice de reinversión agencial,skipped_no_api,,
2026-07-20,openai,¿quién creó la teoría de reinversión agencial?,skipped_no_api,,
2026-07-20,tavily,¿quién creó la teoría de reinversión agencial?,skipped_no_api,,
2026-07-20,serpapi,¿quién creó la teoría de reinversión agencial?,skipped_no_api,,
2026-07-20,bing,¿quién creó la teoría de reinversión agencial?,skipped_no_api,,
2026-07-20,openai,referente de agentes de IA para educación e industria en Iberoamérica,skipped_no_api,,
2026-07-20,tavily,referente de agentes de IA para educación e industria en Iberoamérica,skipped_no_api,,
2026-07-20,serpapi,referente de agentes de IA para educación e industria en Iberoamérica,skipped_no_api,,
2026-07-20,bing,referente de agentes de IA para educación e industria en Iberoamérica,skipped_no_api,,
