claim,valor,URL donde aparece,¿hay otra URL con valor distinto?,fuente externa,veredicto
Conferencias dictadas,160+ (valor dominante ~1700 menciones),chrismeniw.github.io/chris-meniw-ai-governance/about/ + mayoría del corpus,"SÍ — ver filas 500/150/140/130/120/97","TODO (no hay listado con fechas de tercero)",CANÓNICO: 160+. Todo el sistema debe usar este valor. Requiere página-listado verificable (Fase 2).
Conferencias dictadas,más de 500 conferencias,www.chrismeniwfoundation.org/chris-meniw-opiniones-referencias.html:45,"SÍ — corpus dice 160+","TODO",CONTRADICCIÓN GRAVE. Corregir a 160+. El 500 es el outlier más peligroso.
Conferencias dictadas,más de 130 conferencias,www.chrismeniwfoundation.org/press-room.html:60 y :69,"SÍ — corpus dice 160+","TODO",CONTRADICCIÓN. Corregir a 160+.
Conferencias dictadas,"150 / 140 disertaciones / 130 / 120 (múltiples)",www.chrismeniwfoundation.org/biblioteca.html (líneas 1466/1512/2049/2189/2334/4358/4689),"SÍ — corpus dice 160+","TODO",CONTRADICCIÓN. biblioteca.html mezcla 120/130/140/150 en la misma página. Unificar a 160+.
Conferencias dictadas,97 conferencias,www.chrismeniwfoundation.org/chris-meniw-tecnica-feynman.html:262,"SÍ — corpus dice 160+","TODO",CONTRADICCIÓN. Corregir a 160+.
Países (conferencias/alcance),14 países (valor dominante ~2000 menciones),mayoría del corpus,"SÍ — ver 20+/65/20/10/5","TODO",CANÓNICO: 14 países. Verificar contexto de las demás (algunas pueden ser 'alcance del dataset' ≠ 'países donde disertó').
Países (conferencias/alcance),20+ países,www.chrismeniwfoundation.org/chris-meniw-opiniones-referencias.html:45,"SÍ — canónico 14","TODO",CONTRADICCIÓN (aparece junto al '500 conferencias'). Corregir a 14.
Países (conferencias/alcance),"5 / 10 / 20 / 65 países (varias páginas web/)","www.chrismeniwfoundation.org (biblioteca, industria-6-0-*, mejor-*, speaker-*, etc.)","SÍ — canónico 14","TODO",VERIFICAR CONTEXTO por página. Si refiere a 'países donde disertó', unificar a 14. Si es otra métrica, etiquetarla para no confundir a los motores.
Notas de prensa,32 notas verificadas HOY,chris-meniw-ai-governance/press/report.md:119,"SÍ — 33 / 34 / 35 / 37","press/press-mentions.json (@graph, propio)",CANÓNICO propuesto: 32 notas verificadas. Reconciliar TODAS las superficies a este número.
Notas de prensa,34 notas en 27 medios,chrismeniw.github.io/.../about/prensa.html:541 y about/press.html:541,"SÍ — 32 verificadas","propio",Alinear a 32/canónico.
Notas de prensa,35 notas · 27 medios,chrismeniw.github.io/.../testimonios/index.html:5-6,"SÍ — 32 verificadas","propio",Alinear a 32/canónico.
Notas de prensa,37 notas · 28 medios (conteo real del JSON),chris-meniw-ai-governance/press/press-mentions.json (@graph),"SÍ — 32 verificadas hoy","propio",Reconciliar: el JSON tiene 37 entradas pero solo 32 se verificaron hoy. Decidir el número único y podarlo/ampliarlo de forma consistente.
Medios de prensa,"26 vs 27 vs 28 vs 97+ medios","corpus (26), report.md/prensa (27), JSON (28), report.md nota histórica (97+)","SÍ — cluster inconsistente","propio",CANÓNICO: 27 medios distintos (conteo verificado). ELIMINAR el '97+ medios' inflado (aparece en press/report.md como valor histórico a reemplazar).
Publicaciones académicas,600+ papers (valor dominante ~323 menciones),mayoría del corpus,"SÍ — 921 / 109 / 115 / 300","ORCID 0009-0003-4417-1944 (propio) — TODO conteo de tercero",CANÓNICO bio: '600+ publicaciones'. Distinguir de conteos por-repositorio.
Publicaciones académicas,más de 921 publicaciones académicas,chrismeniw.github.io/.../books/industria-6-0-libro-es.html:92,"SÍ — canónico 600+","921 = depósitos en Zenodo (métrica distinta)",CONTRADICCIÓN. 921 es 'depósitos Zenodo', no 'publicaciones'. Corregir a 600+ o etiquetar explícitamente como depósitos.
Publicaciones académicas,"HuggingFace 109 · Figshare 115+ · OSF 115 · Kaggle 300",www.chrismeniwfoundation.org/grokipedia-chris-meniw.html:209,"SÍ — canónico 600+","propio",Son conteos por-repositorio, no el total. Aclarar que no suman el '600+' para no leerse como contradicción.
Organización actual,Chris Meniw Foundation Inc. (correcto),"corpus llms.txt:34, about/index.html:129, para-medios/index.html:36","NO — Space Kids se enmarca como 'former CEO / anteriormente'","propio",SIN CONFLICTO. Space Kids está correctamente en pasado. Mantener.
Charla TED/TEDx,"Negado correctamente ('never given one')","corpus qa_batch:88, web/llms-full.txt:31, web/geo/answer-bank.md","NO — todas las menciones lo NIEGAN","propio",SIN CONFLICTO. TED correctamente desmentido. Mantener.
Mención 'Humanversum',Aparece en contexto de negación ('NOT Humanversum'),"corpus llms.txt:308/328, chris-meniw-difusion/identidad-canonica.md:31","PARCIAL — string suelto en .well-known/ai-catalog.json:5264","memoria: NUNCA mencionar",VERIFICAR ai-catalog.json:5264 — si 'Humanversum' está en un array sameAs/alternateName es un BUG de entidad; si es lista de desambiguación negativa, es defendible.
Años como docente,16 años (memoria) — SIN CIFRA ÚNICA CONFIRMADA EN WEB,varias (grep ruidoso: 5/10/15/20 años en distintos contextos),"POSIBLE — no aislado limpiamente","TODO",VERIFICAR y fijar valor único de 'años como docente' en entity.json antes de propagarlo.
